molecule_chembl_id,pref_name,S_mchr1,S_mchr1_tierB,S_herg,selectivity_score,hit
CHEMBL1200692,OLMESARTAN MEDOXOMIL,0.1927,0.21,0.2162,-0.0236,False
CHEMBL182,GANCICLOVIR,0.1412,0.1974,0.1648,-0.0237,False
CHEMBL1161,MOMETASONE FUROATE,0.1743,0.1759,0.1981,-0.0238,False
CHEMBL1201073,SUCCIMER,0.0938,0.1111,0.1176,-0.0239,False
CHEMBL1161681,NITROUS ACID,0.0492,0.06,0.0732,-0.024,False
CHEMBL43452,POMALIDOMIDE,0.1818,0.1852,0.2059,-0.0241,False
CHEMBL2308885,CLOBETASONE BUTYRATE,0.1667,0.18,0.1909,-0.0242,False
CHEMBL1509,DROSPIRENONE,0.1354,0.1443,0.1596,-0.0242,False
CHEMBL671,THIOTEPA,0.0667,0.0877,0.0909,-0.0242,False
CHEMBL1658,RETAPAMULIN,0.1441,0.1782,0.1684,-0.0243,False
CHEMBL971,PENTOBARBITAL SODIUM,0.1205,0.1316,0.1447,-0.0243,False
CHEMBL4594278,GEFAPIXANT CITRATE,0.1717,0.2292,0.1961,-0.0244,False
CHEMBL1728,LOMEFLOXACIN HYDROCHLORIDE,0.2,0.3034,0.2245,-0.0245,False
CHEMBL3590187,CLASCOTERONE,0.1562,0.1705,0.1809,-0.0246,False
CHEMBL848,LENALIDOMIDE,0.1778,0.1786,0.2024,-0.0246,False
CHEMBL468837,HEPTABARBITAL,0.1538,0.1667,0.1786,-0.0247,False
CHEMBL1200474,DEMECLOCYCLINE HYDROCHLORIDE,0.1386,0.1758,0.1633,-0.0247,False
CHEMBL1097620,IOTHALAMATE SODIUM,0.1375,0.1408,0.1622,-0.0247,False
CHEMBL1201773,PRASUGREL HYDROCHLORIDE,0.2,0.2614,0.2247,-0.0247,False
CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,0.1696,0.2,0.1944,-0.0248,False
CHEMBL1200981,EPIRUBICIN HYDROCHLORIDE,0.1696,0.2,0.1944,-0.0248,False
CHEMBL561,LOMEFLOXACIN,0.202,0.3068,0.2268,-0.0248,False
CHEMBL4297513,IBREXAFUNGERP,0.1705,0.1983,0.1953,-0.0248,False
CHEMBL1200581,DIATRIZOATE SODIUM,0.1392,0.1507,0.1642,-0.0249,False
CHEMBL1200727,RUBIDIUM CHLORIDE RB 82,0.0339,0.0208,0.0588,-0.0249,False
CHEMBL15891,LINDANE,0.0357,0.0588,0.0606,-0.0249,False
CHEMBL1591,DEMECLOCYCLINE,0.14,0.1778,0.1649,-0.0249,False
CHEMBL4594411,"XENON XE-129, HYPERPOLARIZED",0.0,0.0185,0.025,-0.025,False
CHEMBL2107386,VORAPAXAR SULFATE,0.2035,0.2736,0.2286,-0.025,False
CHEMBL2105722,NOMEGESTROL,0.1522,0.1531,0.1772,-0.025,False
CHEMBL113,CAFFEINE,0.1667,0.1857,0.1918,-0.0251,False
CHEMBL417,EPIRUBICIN,0.1712,0.2018,0.1963,-0.0251,False
CHEMBL1863513,INGENOL MEBUTATE,0.1333,0.1442,0.1584,-0.0251,False
CHEMBL1256137,CYSTEAMINE HYDROCHLORIDE,0.0484,0.0732,0.0735,-0.0251,False
CHEMBL53463,DOXORUBICIN,0.1712,0.2018,0.1963,-0.0251,False
CHEMBL1200878,TRIAMCINOLONE HEXACETONIDE,0.1491,0.1508,0.1743,-0.0252,False
CHEMBL591665,SODIUM ASCORBATE,0.1154,0.1528,0.1406,-0.0252,False
CHEMBL1201195,CEFMETAZOLE,0.1441,0.1636,0.1694,-0.0252,False
CHEMBL389621,HYDROCORTISONE,0.1596,0.1705,0.1848,-0.0252,False
CHEMBL1201772,PRASUGREL,0.202,0.2644,0.2273,-0.0253,False
CHEMBL602,CYSTEAMINE,0.0492,0.075,0.0746,-0.0254,False
CHEMBL5483015,ARSENIC TRIOXIDE,0.0615,0.0625,0.087,-0.0254,False
CHEMBL754,FOSCARNET SODIUM,0.0746,0.0968,0.1,-0.0254,False
CHEMBL1756,ESTRAMUSTINE PHOSPHATE,0.2,0.236,0.2255,-0.0255,False
CHEMBL2107355,MIGALASTAT HYDROCHLORIDE,0.1096,0.1129,0.1351,-0.0255,False
CHEMBL4298153,NIROGACESTAT HYDROBROMIDE,0.2,0.2182,0.2255,-0.0255,False
CHEMBL1201189,AMMONIA N 13,0.0,0.0,0.0256,-0.0256,False
CHEMBL1201300,IOTHALAMIC ACID,0.141,0.1618,0.1667,-0.0256,False
CHEMBL1439,TAZOBACTAM SODIUM,0.1522,0.172,0.1778,-0.0256,False
CHEMBL1201045,ACETRIZOATE SODIUM,0.1707,0.1842,0.1964,-0.0257,False
CHEMBL1200848,HYDROXYPROGESTERONE CAPROATE,0.1717,0.2065,0.1974,-0.0257,False
